City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Cockburn Town,TC,81.41,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
13,Aksarka,RU,76.19,broken clouds,66.5606,67.7975,
14,Kavaratti,IN,81.5,overcast clouds,10.5669,72.642,Green leaf
21,Kingsland,US,81.91,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
22,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Yarada,IN,89.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
26,Bardiyah,LY,77.29,clear sky,31.7561,25.0865,بورتو بردية
28,Sorong,ID,82.18,broken clouds,-0.8833,131.25,Waigo Splash Hotel
29,Hilo,US,79.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
30,Georgetown,MY,87.73,scattered clouds,5.4112,100.3354,Cititel Penang
33,Coahuayana,MX,75.9,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
38,Bethel,US,77.76,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
45,Makat,KZ,86.56,clear sky,47.6469,53.3463,Umit
49,Remedios,CU,77.92,clear sky,22.4947,-79.5458,Hostal Yunai
51,Quatre Cocos,MU,75.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
57,Ibra,OM,79.48,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
60,Bandarbeyla,SO,81.45,scattered clouds,9.4942,50.8122,JABIR HOTEL
63,Cairns,AU,79.07,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
66,Yishui,CN,80.56,overcast clouds,35.7847,118.6281,Nationality Hotel
70,Bengkulu,ID,84.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Atuona,PF,77.52,light rain,-9.8,-139.0333,Villa Enata
73,Nantucket,US,78.91,fog,41.2835,-70.0995,Jared Coffin House
74,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
79,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
80,Belance,PH,78.49,overcast clouds,16.1833,121.25,Sea of Clouds Dupax Norte Nueva Vizcaya
