City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Carnarvon,AU,2022-07-29 05:22:04,-24.8667,113.6333,71.02,70,100,9.98,overcast clouds,0.0,0.0
1,Fairbanks,US,2022-07-29 05:28:39,64.8378,-147.7164,66.09,55,20,9.22,few clouds,0.0,0.0
2,Saskylakh,RU,2022-07-29 05:28:40,71.9167,114.0833,63.12,77,100,4.56,overcast clouds,0.0,0.0
3,Mecca,SA,2022-07-29 05:16:44,21.4267,39.8261,90.28,27,67,4.09,broken clouds,0.0,0.0
4,Fort Wayne,US,2022-07-29 05:28:02,41.1306,-85.1289,66.18,88,40,0.0,scattered clouds,0.0,0.0
5,Barrow,US,2022-07-29 05:19:30,71.2906,-156.7887,33.82,100,100,13.8,mist,0.0,0.0
6,Saint-Pierre,RE,2022-07-29 05:28:40,-21.3393,55.4781,73.29,64,0,9.22,clear sky,0.0,0.0
7,Yellowknife,CA,2022-07-29 05:28:25,62.456,-114.3525,59.56,58,20,6.91,few clouds,0.0,0.0
8,Leningradskiy,RU,2022-07-29 05:19:40,69.3833,178.4167,42.6,74,86,9.53,overcast clouds,0.0,0.0
9,Cockburn Town,TC,2022-07-29 05:27:53,21.4612,-71.1419,81.41,75,86,20.67,overcast clouds,0.0,0.0
10,Rundu,NA,2022-07-29 05:28:41,-17.9333,19.7667,51.69,39,29,4.88,scattered clouds,0.0,0.0
11,Port Lincoln,AU,2022-07-29 05:28:41,-34.7333,135.8667,58.08,61,60,13.71,broken clouds,0.0,0.0
12,Port Alfred,ZA,2022-07-29 05:17:40,-33.5906,26.891,64.18,60,0,4.0,clear sky,0.0,0.0
13,Aksarka,RU,2022-07-29 05:28:42,66.5606,67.7975,76.19,40,54,10.85,broken clouds,0.0,0.0
14,Kavaratti,IN,2022-07-29 05:28:42,10.5669,72.642,81.5,80,96,13.82,overcast clouds,0.0,0.0
15,Busselton,AU,2022-07-29 05:28:42,-33.65,115.3333,57.61,75,83,26.04,broken clouds,0.0,0.0
16,Qaanaaq,GL,2022-07-29 05:20:43,77.484,-69.3632,35.85,83,75,5.41,broken clouds,0.0,0.0
17,Mar Del Plata,AR,2022-07-29 05:18:34,-38.0023,-57.5575,43.09,91,40,11.99,scattered clouds,0.0,0.0
18,Jaswantnagar,IN,2022-07-29 05:28:43,26.8786,78.9028,90.1,58,89,4.9,overcast clouds,0.0,0.0
19,Punta Arenas,CL,2022-07-29 05:25:24,-53.15,-70.9167,39.31,81,20,25.32,few clouds,0.0,0.0
20,Dikson,RU,2022-07-29 05:28:43,73.5069,80.5464,42.71,99,100,15.48,overcast clouds,0.0,0.0
21,Kingsland,US,2022-07-29 05:25:04,30.8,-81.6898,81.91,90,98,3.74,overcast clouds,0.0,0.0
22,Kapaa,US,2022-07-29 05:28:44,22.0752,-159.319,80.58,80,20,9.22,few clouds,0.0,0.0
23,Pevek,RU,2022-07-29 05:28:44,69.7008,170.3133,42.1,71,77,8.7,broken clouds,0.0,0.0
24,Ust-Ilimsk,RU,2022-07-29 05:28:44,58.0006,102.6619,59.7,95,100,9.73,overcast clouds,0.0,0.0
25,Yarada,IN,2022-07-29 05:20:51,17.65,83.2667,89.92,66,40,5.75,haze,0.0,0.0
26,Bardiyah,LY,2022-07-29 05:28:45,31.7561,25.0865,77.29,80,0,9.53,clear sky,0.0,0.0
